2024-01-25 3:57:25 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 3:58:10 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 3:58:10 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1385
2024-01-25 3:58:10 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1385
2024-01-25 3:58:10 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1252
2024-01-25 3:58:10 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:27:53 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1401
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1229
2024-01-25 4:27:53 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1229
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1230
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1239
2024-01-25 4:27:53 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1401
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1229
2024-01-25 4:27:53 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1229
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1230
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1239
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: name in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1266
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1269
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1275
2024-01-25 4:27:53 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1275
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1275
2024-01-25 4:27:53 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1275
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1275
2024-01-25 4:27:53 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1275
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: plate in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1275
2024-01-25 4:27:53 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1275
2024-01-25 4:27:53 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: access_token in D:\Project\wandfreude\wandfreude-main\dream_robot\settings.inc.php on line 52
2024-01-25 4:42:07 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1673 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:42:07 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: i in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1232
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1232
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1243
2024-01-25 4:42:07 - PHP Notice:  Undefined property: stdClass::$ in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1243
2024-01-25 4:42:07 - PHP Notice:  Undefined property: stdClass::$data_url_hire2_1674 in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1395
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: another_information in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:42:07 - PHP Notice:  Trying to get property of non-object in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1231
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: i in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1232
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1232
2024-01-25 4:42:07 - PHP Notice:  Undefined variable: file_tmp in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1243
2024-01-25 4:42:07 - PHP Notice:  Undefined property: stdClass::$ in D:\Project\wandfreude\wandfreude-main\system\storage\modification\catalog\controller\api\order.php on line 1243
